iter	Passed	Remaining
641	27401	15280
642	27467	15250
643	27613	15264
644	27788	15294
645	27891	15284
646	28114	15338
647	28194	15315
648	28319	15315
649	28448	15318
650	28512	15285
651	28571	15249
652	28616	15206
653	28678	15172
654	28777	15157
655	28890	15149
656	28965	15122
657	29037	15092
658	29100	15058
659	29144	15013
660	29221	14986
661	29277	14948
662	29414	14951
663	29490	14922
664	29552	14887
665	29663	14876
666	29787	14871
667	29880	14850
668	29921	14804
669	29953	14753
670	29994	14706
671	30046	14665
672	30098	14624
673	30140	14578
674	30229	14554
675	30369	14555
676	30563	14582
677	30739	14599
678	30809	14565
679	30885	14534
680	30943	14494
681	30988	14449
682	31057	14414
683	31088	14362
684	31123	14312
685	31187	14275
686	31276	14249
687	31368	14225
688	31415	14180
689	31493	14149
690	31568	14116
691	31611	14069
692	31639	14016
693	31681	13969
694	31713	13917
695	31750	13867
696	31781	13815
697	31826	13770
698	32026	13791
699	32111	13762
700	32222	13743
701	32263	13695
702	32305	13648
703	32352	13602
704	32402	13558
705	32459	13516
706	32536	13484
707	32647	13464
708	32753	13443
709	32874	13427
710	33027	13424
711	33203	13430
712	33350	13424
713	33434	13392
714	33482	13346
715	33560	13311
716	33708	13304
717	33815	13281
718	33860	13233
719	33923	13192
720	34061	13180
721	34152	13150
722	34202	13103
723	34261	13061
724	34349	13029
725	34390	12979
726	34445	12934
727	34529	12901
728	34659	12884
729	34743	12850
730	34831	12817
731	34923	12786
732	35027	12759
733	35087	12715
734	35136	12668
735	35180	12619
736	35212	12565
737	35261	12518
738	35322	12475
739	35373	12428
740	35508	12411
741	35645	12394
742	35742	12363
743	35886	12348
744	36020	12329
745	36098	12290
746	36152	12244
747	36250	12212
748	36430	12208
749	36535	12178
750	36636	12147
751	36736	12115
752	36810	12074
753	36860	12026
754	36921	11981
755	36954	11927
756	37010	11880
757	37050	11828
758	37152	11796
759	37206	11749
760	37245	11697
761	37281	11644
762	37341	11598
763	37385	11548
764	37458	11506
765	37535	11466
766	37580	11416
767	37622	11365
768	37684	11320
769	37756	11277
770	37819	11233
771	37882	11188
772	38025	11166
773	38181	11148
774	38339	11130
775	38428	11092
776	38539	11060
777	38682	11037
778	38798	11007
779	38930	10980
780	39023	10942
781	39077	10893
782	39161	10853
783	39200	10800
784	39320	10769
785	39391	10724
786	39513	10694
787	39601	10654
788	39686	10613
789	39824	10586
790	39904	10543
791	39978	10499
792	40033	10450
793	40091	10401
794	40143	10351
795	40200	10302
796	40254	10253
797	40319	10206
798	40361	10153
799	40435	10108
800	40545	10073
801	40605	10024
802	40668	9977
803	40722	9927
804	40771	9876
805	40809	9822
806	40873	9775
807	40919	9723
808	40967	9672
809	41068	9633
810	41169	9594
811	41213	9542
812	41251	9488
813	41292	9435
814	41330	9381
815	41366	9327
816	41396	9272
817	41464	9225
818	41499	9171
819	41538	9118
820	41569	9063
821	41599	9008
822	41634	8954
823	41665	8899
824	41703	8846
825	41732	8791
826	41762	8736
827	41795	8682
828	41827	8627
829	41860	8573
830	41892	8519
831	41922	8465
832	41955	8411
833	41989	8357
834	42025	8304
835	42089	8256
836	42130	8204
837	42221	8162
838	42269	8111
839	42305	8058
840	42330	8002
841	42364	7949
842	42420	7900
843	42449	7846
844	42489	7793
845	42530	7741
846	42556	7687
847	42591	7634
848	42623	7580
849	42658	7527
850	42691	7474
851	42726	7422
852	42756	7368
853	42785	7314
854	42825	7262
855	42855	7209
856	42892	7157
857	42920	7103
858	42947	7049
859	42973	6995
860	43004	6942
861	43078	6896
862	43107	6843
863	43142	6791
864	43176	6738
865	43205	6685
866	43237	6632
867	43266	6579
868	43301	6527
869	43331	6474
870	43380	6424
871	43404	6371
872	43480	6325
873	43521	6274
874	43604	6229
875	43657	6179
876	43687	6127
877	43720	6075
878	43768	6025
879	43849	5979
880	43881	5927
881	43914	5875
882	43945	5822
883	43986	5772
884	44019	5720
885	44056	5668
886	44090	5616
887	44124	5565
888	44161	5514
889	44198	5462
890	44222	5409
891	44261	5358
892	44299	5308
893	44340	5257
894	44370	5205
895	44410	5154
896	44439	5102
897	44476	5051
898	44532	5003
899	44569	4952
900	44603	4900
901	44638	4849
902	44667	4798
903	44705	4747
904	44744	4696
905	44783	4646
906	44815	4595
907	44850	4544
908	44892	4494
909	44939	4444
910	45003	4396
911	45055	4347
912	45117	4299
913	45175	4250
914	45197	4198
915	45226	4147
916	45260	4096
917	45292	4045
918	45332	3995
919	45364	3944
920	45401	3894
921	45437	3843
922	45475	3793
923	45507	3743
924	45560	3694
925	45601	3644
926	45643	3594
927	45704	3546
928	45751	3496
929	45804	3447
930	45855	3398
931	45887	3348
932	45933	3298
933	45963	3247
934	45996	3197
935	46022	3146
936	46057	3096
937	46082	3045
938	46131	2996
939	46162	2946
940	46191	2896
941	46316	2851
942	46428	2806
943	46458	2756
944	46500	2706
945	46544	2656
946	46584	2607
947	46621	2557
948	46684	2508
949	46716	2458
950	46746	2408
951	46782	2358
952	46809	2308
953	46839	2258
954	46868	2208
955	46898	2158
956	46935	2108
957	46997	2060
958	47038	2011
959	47085	1961
960	47112	1911
961	47137	1861
962	47162	1812
963	47203	1762
964	47228	1712
965	47255	1663
966	47293	1613
967	47336	1564
968	47407	1516
969	47513	1469
970	47703	1424
971	47768	1376
972	47808	1326
973	47849	1277
974	47883	1227
975	47919	1178
976	47950	1128
977	47980	1079
978	48032	1030
979	48085	981
980	48114	931
981	48151	882
982	48192	833
983	48224	784
984	48263	734
985	48288	685
986	48329	636
987	48370	587
988	48411	538
989	48444	489
990	48479	440
991	48503	391
992	48528	342
993	48591	293
994	48636	244
995	48672	195
996	48694	146
997	48720	97
998	48750	48
999	48821	0
