iter	Passed	Remaining
736	21635	7720
737	21656	7688
738	21677	7656
739	21697	7623
740	21720	7591
741	21743	7560
742	21764	7528
743	21792	7498
744	21812	7465
745	21834	7434
746	21853	7401
747	21876	7370
748	21897	7338
749	21917	7305
750	21942	7275
751	21964	7243
752	21986	7212
753	22018	7183
754	22044	7153
755	22065	7121
756	22088	7090
757	22115	7060
758	22141	7030
759	22162	6998
760	22184	6967
761	22206	6935
762	22233	6906
763	22304	6890
764	22384	6876
765	22500	6873
766	22579	6859
767	22610	6830
768	22666	6808
769	22752	6796
770	22774	6764
771	22794	6731
772	22816	6700
773	22839	6668
774	22861	6637
775	22883	6605
776	22905	6573
777	22930	6543
778	22954	6512
779	22979	6481
780	23003	6450
781	23025	6418
782	23050	6388
783	23076	6357
784	23099	6326
785	23119	6294
786	23140	6263
787	23163	6231
788	23191	6202
789	23215	6171
790	23238	6140
791	23258	6108
792	23280	6076
793	23305	6046
794	23325	6014
795	23346	5983
796	23373	5953
797	23398	5922
798	23424	5892
799	23447	5861
800	23470	5831
801	23491	5799
802	23511	5768
803	23532	5736
804	23553	5705
805	23575	5674
806	23599	5644
807	23626	5614
808	23646	5582
809	23672	5552
810	23694	5521
811	23716	5491
812	23737	5460
813	23760	5429
814	23782	5398
815	23807	5368
816	23831	5337
817	23853	5307
818	23874	5276
819	23897	5245
820	23969	5225
821	24012	5199
822	24093	5181
823	24145	5157
824	24175	5128
825	24205	5099
826	24233	5069
827	24254	5038
828	24276	5007
829	24298	4976
830	24320	4946
831	24342	4915
832	24360	4883
833	24383	4853
834	24404	4822
835	24427	4791
836	24452	4761
837	24475	4731
838	24496	4700
839	24518	4670
840	24538	4639
841	24558	4608
842	24580	4577
843	24600	4547
844	24623	4516
845	24650	4487
846	24681	4458
847	24706	4428
848	24728	4398
849	24748	4367
850	24768	4336
851	24790	4306
852	24811	4275
853	24835	4245
854	24857	4215
855	24877	4185
856	24898	4154
857	24919	4124
858	24942	4094
859	24964	4063
860	24987	4033
861	25007	4003
862	25029	3973
863	25047	3942
864	25074	3913
865	25097	3883
866	25117	3853
867	25137	3822
868	25158	3792
869	25181	3762
870	25200	3732
871	25222	3702
872	25246	3672
873	25268	3642
874	25291	3613
875	25315	3583
876	25336	3553
877	25360	3523
878	25385	3494
879	25405	3464
880	25425	3434
881	25445	3404
882	25468	3374
883	25491	3345
884	25514	3315
885	25536	3285
886	25556	3255
887	25577	3226
888	25599	3196
889	25621	3166
890	25640	3136
891	25660	3106
892	25680	3077
893	25707	3048
894	25729	3018
895	25751	2989
896	25773	2959
897	25792	2929
898	25813	2900
899	25836	2870
900	25860	2841
901	25880	2811
902	25904	2782
903	25932	2753
904	25955	2724
905	25978	2695
906	26012	2667
907	26032	2637
908	26054	2608
909	26074	2578
910	26097	2549
911	26124	2520
912	26145	2491
913	26165	2461
914	26189	2432
915	26211	2403
916	26231	2374
917	26254	2345
918	26275	2315
919	26297	2286
920	26318	2257
921	26341	2228
922	26365	2199
923	26384	2170
924	26405	2140
925	26427	2111
926	26450	2082
927	26470	2053
928	26493	2024
929	26515	1995
930	26535	1966
931	26561	1937
932	26584	1909
933	26605	1880
934	26623	1850
935	26644	1821
936	26665	1792
937	26688	1764
938	26708	1735
939	26728	1706
940	26751	1677
941	26778	1648
942	26803	1620
943	26822	1591
944	26842	1562
945	26863	1533
946	26882	1504
947	26904	1475
948	26922	1446
949	26940	1417
950	26961	1389
951	26984	1360
952	27009	1332
953	27031	1303
954	27052	1274
955	27073	1246
956	27095	1217
957	27115	1188
958	27134	1160
959	27155	1131
960	27183	1103
961	27208	1074
962	27229	1046
963	27251	1017
964	27273	989
965	27294	960
966	27312	932
967	27334	903
968	27354	875
969	27378	846
970	27406	818
971	27428	790
972	27447	761
973	27468	733
974	27488	704
975	27508	676
976	27530	648
977	27553	619
978	27574	591
979	27596	563
980	27618	534
981	27642	506
982	27663	478
983	27684	450
984	27705	421
985	27725	393
986	27746	365
987	27767	337
988	27787	309
989	27806	280
990	27831	252
991	27854	224
992	27874	196
993	27895	168
994	27914	140
995	27935	112
996	27958	84
997	27979	56
998	28000	28
999	28023	0
